station,valid,tmpc,dwpc,drct,sknt,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
EGPH,2019-08-12 00:20,11.00,11.00,250.00,2.00,SCT,SCT,,1400.00,2200.00,
EGPH,2019-08-12 00:50,11.00,11.00,230.00,2.00,SCT,BKN,,1200.00,2200.00,
EGPH,2019-08-12 01:50,11.00,11.00,240.00,5.00,SCT,SCT,BKN,700.00,1200.00,3300.00
EGPH,2019-08-12 02:20,10.00,10.00,250.00,4.00,OVC,,,3600.00,,
EGPH,2019-08-12 02:50,10.00,10.00,240.00,4.00,SCT,BKN,,1900.00,2900.00,
EGPH,2019-08-12 03:20,10.00,10.00,230.00,3.00,OVC,,,4600.00,,
EGPH,2019-08-12 03:50,10.00,10.00,250.00,3.00,BKN,,,3400.00,,
EGPH,2019-08-12 04:20,10.00,10.00,250.00,4.00,BKN,,,3500.00,,
EGPH,2019-08-12 04:50,10.00,10.00,250.00,5.00,OVC,,,4100.00,,
EGPH,2019-08-12 05:20,10.00,10.00,250.00,4.00,BKN,,,4300.00,,
EGPH,2019-08-12 05:50,10.00,10.00,250.00,3.00,FEW,BKN,,1200.00,4400.00,
EGPH,2019-08-12 06:20,10.00,10.00,,3.00,FEW,SCT,,1100.00,4400.00,
EGPH,2019-08-12 06:50,11.00,10.00,270.00,4.00,FEW,SCT,,1200.00,4800.00,
EGPH,2019-08-12 07:20,11.00,9.00,280.00,5.00,FEW,,,1800.00,,
EGPH,2019-08-12 07:50,12.00,9.00,270.00,5.00,FEW,,,2200.00,,
EGPH,2019-08-12 08:20,12.00,9.00,280.00,4.00,FEW,,,2200.00,,
EGPH,2019-08-12 08:50,13.00,9.00,280.00,5.00,FEW,,,2000.00,,
EGPH,2019-08-12 09:20,13.00,8.00,260.00,5.00,FEW,,,2300.00,,
EGPH,2019-08-12 09:50,14.00,8.00,280.00,5.00,FEW,,,3100.00,,
EGPH,2019-08-12 10:20,14.00,8.00,280.00,6.00,SCT,,,3000.00,,
EGPH,2019-08-12 10:50,14.00,8.00,260.00,6.00,SCT,,,3200.00,,
EGPH,2019-08-12 11:20,14.00,8.00,300.00,4.00,SCT,,,3300.00,,
EGPH,2019-08-12 11:50,15.00,8.00,260.00,7.00,SCT,,,3500.00,,
EGPH,2019-08-12 12:20,16.00,8.00,300.00,5.00,SCT,,,4100.00,,
EGPH,2019-08-12 12:50,16.00,8.00,,4.00,SCT,,,4200.00,,
EGPH,2019-08-12 13:20,16.00,7.00,320.00,4.00,SCT,,,4300.00,,
EGPH,2019-08-12 13:50,17.00,9.00,270.00,8.00,SCT,,,4400.00,,
EGPH,2019-08-12 14:20,17.00,9.00,260.00,8.00,FEW,,,3900.00,,
EGPH,2019-08-12 14:50,16.00,9.00,280.00,6.00,SCT,,,4000.00,,
EGPH,2019-08-12 15:20,17.00,9.00,250.00,9.00,SCT,,,4100.00,,
EGPH,2019-08-12 15:50,14.00,10.00,300.00,6.00,SCT,,,3900.00,,
EGPH,2019-08-12 16:20,15.00,10.00,290.00,6.00,SCT,,,3700.00,,
EGPH,2019-08-12 16:50,14.00,10.00,240.00,10.00,SCT,,,3700.00,,
EGPH,2019-08-12 17:20,14.00,11.00,240.00,9.00,SCT,,,4600.00,,
EGPH,2019-08-12 17:50,14.00,10.00,230.00,9.00,SCT,,,4600.00,,
EGPH,2019-08-12 18:20,13.00,10.00,240.00,8.00,SCT,,,3500.00,,
EGPH,2019-08-12 18:50,12.00,10.00,240.00,6.00,SCT,,,3500.00,,
EGPH,2019-08-12 19:20,12.00,10.00,240.00,8.00,FEW,,,3600.00,,
EGPH,2019-08-12 19:50,12.00,11.00,250.00,5.00,FEW,,,3600.00,,
EGPH,2019-08-12 20:20,11.00,11.00,250.00,6.00,SCT,,,3600.00,,
EGPH,2019-08-12 20:50,12.00,10.00,250.00,9.00,SCT,,,3600.00,,
EGPH,2019-08-12 21:20,11.00,10.00,240.00,7.00,,,,,,
EGPH,2019-08-12 21:50,11.00,10.00,250.00,6.00,,,,,,
EGPH,2019-08-12 22:20,10.00,9.00,260.00,5.00,,,,,,
EGPH,2019-08-12 22:50,10.00,9.00,250.00,6.00,,,,,,
EGPH,2019-08-12 23:20,10.00,9.00,250.00,6.00,,,,,,
EGPH,2019-08-12 23:50,9.00,9.00,250.00,5.00,,,,,,
EGPH,2019-08-13 00:20,9.00,9.00,250.00,6.00,,,,,,
EGPH,2019-08-13 00:50,9.00,9.00,260.00,5.00,,,,,,
EGPH,2019-08-13 01:20,8.00,8.00,250.00,5.00,,,,,,
EGPH,2019-08-13 01:50,8.00,8.00,240.00,5.00,,,,,,
EGPH,2019-08-13 02:20,8.00,8.00,250.00,5.00,,,,,,
EGPH,2019-08-13 02:50,8.00,8.00,250.00,5.00,,,,,,
EGPH,2019-08-13 03:20,8.00,8.00,250.00,4.00,,,,,,
EGPH,2019-08-13 03:50,8.00,8.00,260.00,5.00,,,,,,
EGPH,2019-08-13 04:50,8.00,8.00,260.00,5.00,,,,,,
EGPH,2019-08-13 05:20,9.00,9.00,250.00,6.00,,,,,,
EGPH,2019-08-13 05:50,9.00,9.00,240.00,7.00,,,,,,
EGPH,2019-08-13 06:20,10.00,10.00,250.00,5.00,,,,,,
EGPH,2019-08-13 06:50,11.00,10.00,250.00,6.00,,,,,,
EGPH,2019-08-13 07:20,12.00,11.00,250.00,8.00,FEW,,,1700.00,,
EGPH,2019-08-13 07:50,13.00,11.00,250.00,10.00,FEW,,,1800.00,,
EGPH,2019-08-13 08:20,14.00,11.00,260.00,8.00,FEW,,,1500.00,,
EGPH,2019-08-13 08:50,14.00,10.00,260.00,10.00,FEW,,,1500.00,,
EGPH,2019-08-13 09:20,15.00,10.00,250.00,11.00,FEW,,,2200.00,,
EGPH,2019-08-13 09:50,15.00,10.00,270.00,8.00,SCT,,,2500.00,,
EGPH,2019-08-13 10:20,15.00,9.00,260.00,10.00,SCT,,,2900.00,,
EGPH,2019-08-13 10:50,15.00,9.00,250.00,12.00,SCT,,,3400.00,,
EGPH,2019-08-13 11:20,16.00,9.00,260.00,10.00,SCT,,,3500.00,,
EGPH,2019-08-13 11:50,17.00,9.00,250.00,11.00,SCT,,,3700.00,,
